Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,2174,2187,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,2130,2145,0,0,0,0,0,0,0
A08,2039,2052,0,0,0,0,0,0,0
A09,2064,2079,2314,2324,0,0,0,0,0
A10,2059,2073,2308,2315,0,0,0,0,0
A11,2208,2219,0,0,0,0,0,0,0
A12,2130,2140,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0
B02,0,0,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,2152,2165,2433,2441,0,0,0,0,0
B06,0,0,0,0,0,0,0,0,0
B07,0,0,0,0,0,0,0,0,0
B08,2043,2056,2293,2304,0,0,0,0,0
B09,2084,2097,2346,2357,0,0,0,0,0
B10,2053,2067,0,0,0,0,0,0,0
B11,2102,2113,0,0,0,0,0,0,0
B12,0,0,0,0,0,0,0,0,0
C01,0,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,0,0,0,0,0,0,0,0,0
C04,2141,2154,0,0,0,0,0,0,0
C05,2158,2171,2442,2449,0,0,0,0,0
C06,0,0,0,0,0,0,0,0,0
C07,0,0,0,0,0,0,0,0,0
C08,2057,2069,2311,2322,0,0,0,0,0
C09,2050,2065,2292,2300,0,0,0,0,0
C10,2045,2060,2286,2294,0,0,0,0,0
C11,2215,2228,0,0,0,0,0,0,0
C12,2162,2174,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D04,2077,2089,0,0,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0
D06,0,0,0,0,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
D08,2046,2058,2297,2308,0,0,0,0,0
D09,2067,2081,2310,2321,0,0,0,0,0
D10,2059,2073,2306,2316,0,0,0,0,0
D11,2155,2166,0,0,0,0,0,0,0
D12,0,0,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,2092,2105,2361,2372,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,0
E06,0,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,2048,2061,2303,2313,0,0,0,0,0
E09,2103,2118,2361,2377,0,0,0,0,0
E10,2055,2070,2289,2299,0,0,0,0,0
E11,2193,2208,0,0,0,0,0,0,0
E12,2179,2189,0,0,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,2089,2101,0,0,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0
F08,2050,2063,2305,2314,0,0,0,0,0
F09,2074,2088,2320,2329,0,0,0,0,0
F10,2064,2079,2298,2307,0,0,0,0,0
F11,2174,2186,2462,2473,0,0,0,0,0
F12,2190,2202,0,0,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,2085,2097,0,0,0,0,0,0,0
G05,0,0,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,2043,2056,0,0,0,0,0,0,0
G08,2055,2068,2313,2322,0,0,0,0,0
G09,2064,2078,2311,2322,0,0,0,0,0
G10,2089,2104,2334,2342,0,0,0,0,0
G11,2181,2192,2476,2487,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H04,2097,2109,2362,2382,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
H08,2060,2073,0,0,0,0,0,0,0
H09,2064,2078,0,0,0,0,0,0,0
H10,2089,2104,2338,2352,0,0,0,0,0
H11,2185,2196,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
