Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A08,2275,2324,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B10,2258,2298,0,2530,0,0,0,0,0
C05,0,0,0,0,0,0,0,0,0
C12,2358,2387,0,2651,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E09,0,0,0,0,0,0,0,0,0
F04,2235,2270,0,2502,0,0,0,0,0
F11,2232,2281,0,2489,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H08,2214,2264,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B11,2320,2361,0,0,0,0,0,0,0
C06,0,0,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D08,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E10,2213,2261,0,2460,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0
F12,2367,2393,0,0,0,0,0,0,0
G07,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A10,2214,2258,0,0,0,0,0,0,0
B05,2219,2254,0,0,0,0,0,0,0
B12,2347,2380,0,0,0,0,0,0,0
C07,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D09,0,0,0,0,0,0,0,0,0
E04,2236,2277,0,2499,0,0,0,0,0
E11,2306,2359,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G08,2186,2238,0,2437,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H10,2276,2328,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A11,2320,2354,0,2621,0,0,0,0,0
B06,0,0,0,0,0,0,0,0,0
C01,2067,2100,0,0,0,0,0,0,0
C08,2253,2300,0,2527,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D10,2219,2262,0,2476,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,0
E12,2323,2355,0,2630,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G09,0,0,0,0,0,0,0,0,0
H04,2234,2272,0,0,0,0,0,0,0
H11,2281,2311,0,0,0,0,0,0,0
A05,0,0,0,0,0,0,0,0,0
A12,2358,2389,0,2652,0,0,0,0,0
B07,0,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C09,0,0,0,0,0,0,0,0,0
D04,2227,2269,0,0,0,0,0,0,0
D11,2325,2371,0,0,0,0,0,0,0
E06,0,0,0,0,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0
F08,2180,2226,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G10,2245,2300,0,2487,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0
B08,2196,2240,0,2455,0,0,0,0,0
C03,0,0,0,0,0,0,0,0,0
C10,2205,2248,0,0,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0
D12,2333,2364,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F09,0,0,0,0,0,0,0,0,0
G04,2233,2270,0,0,0,0,0,0,0
G11,2305,2339,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
A07,2267,2307,0,0,0,0,0,0,0
B02,2147,0,0,0,0,0,0,0,0
B09,0,0,0,0,0,0,0,0,0
C04,2335,2376,0,0,0,0,0,0,0
C11,2305,2350,0,0,0,0,0,0,0
D06,0,0,0,0,0,0,0,0,0
E01,2190,2203,2297,2313,0,0,0,0,0
E08,2257,2303,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,0,0,0,0
G05,0,0,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
