Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A03,1976,1998,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,1860,1879,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,0,0,0,0,0,0,0,0,0
A08,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,0,0
A10,1868,1893,0,0,0,0,0,0,0
A11,0,0,0,0,0,0,0,0,0
A12,2053,2074,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0
B02,0,0,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,1846,1866,0,0,0,0,0,0,0
B06,1839,1860,0,0,0,0,0,0,0
B07,1832,1859,0,0,0,0,0,0,0
B08,1835,1864,0,0,0,0,0,0,0
B09,0,0,0,0,0,0,0,0,0
B10,1984,2010,0,0,0,0,0,0,0
B11,0,0,0,0,0,0,0,0,0
B12,2235,2263,0,0,0,0,0,0,0
C01,0,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,0,0,0,0,0,0,0,0,0
C04,1954,1978,2065,2092,0,0,0,0,0
C05,1861,1886,1905,1947,0,0,0,0,0
C06,1846,1873,0,0,0,0,0,0,0
C07,1839,1865,1931,1957,0,0,0,0,0
C08,2039,2069,0,0,0,0,0,0,0
C09,0,0,0,0,0,0,0,0,0
C10,1916,1966,0,0,0,0,0,0,0
C11,0,0,0,0,0,0,0,0,0
C12,2235,2259,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D04,1871,1900,0,0,0,0,0,0,0
D05,1882,1908,0,0,0,0,0,0,0
D06,1870,1892,1949,1974,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
D08,1811,1833,0,0,0,0,0,0,0
D09,0,0,0,0,0,0,0,0,0
D10,1868,1893,0,0,0,0,0,0,0
D11,0,0,0,0,0,0,0,0,0
D12,0,0,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,1870,1900,1990,2014,0,0,0,0,0
E05,1859,1884,0,0,0,0,0,0,0
E06,2075,2102,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,1825,1847,0,0,0,0,0,0,0
E09,0,0,0,0,0,0,0,0,0
E10,1894,1926,0,0,0,0,0,0,0
E11,0,0,0,0,0,0,0,0,0
E12,2114,2136,0,0,0,0,0,0,0
F01,1859,1896,1935,1949,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,1854,1874,1936,1960,0,0,0,0,0
F05,1860,1887,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0
F08,1800,1822,0,0,0,0,0,0,0
F09,0,0,0,0,0,0,0,0,0
F10,1919,1963,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0
F12,0,0,0,0,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,1880,1906,1970,1998,0,0,0,0,0
G05,1870,1901,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,0,0,0,0,0,0,0,0,0
G08,1823,1851,0,0,0,0,0,0,0
G09,0,0,0,0,0,0,0,0,0
G10,1858,1889,0,0,0,0,0,0,0
G11,0,0,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,1971,2027,0,0,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H04,1873,1896,0,0,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
H08,1995,2022,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
H10,1960,2011,0,0,0,0,0,0,0
H11,0,0,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
