Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,1812,0,0,0,0,0,0,0,0
A02,1818,0,0,0,0,0,0,0,0
A03,1799,0,0,0,0,0,0,0,0
A04,1802,1831,1894,1912,0,0,0,0,0
A05,1841,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,0,0,0,0,0,0,0,0,0
A08,1836,0,0,0,0,0,0,0,0
A09,1817,0,0,0,0,0,0,0,0
A10,1805,0,0,0,0,0,0,0,0
A11,1814,0,0,0,0,0,0,0,0
A12,1826,0,0,0,0,0,0,0,0
B01,1825,0,0,0,0,0,0,0,0
B02,1836,0,0,0,0,0,0,0,0
B03,1822,0,0,0,0,0,0,0,0
B04,1805,1833,1902,1966,0,0,0,0,0
B05,1853,0,0,0,0,0,0,0,0
B06,1837,0,0,0,0,0,0,0,0
B07,1856,0,0,0,0,0,0,0,0
B08,1861,0,0,0,0,0,0,0,0
B09,0,0,0,0,0,0,0,0,0
B10,1818,0,0,0,0,0,0,0,0
B11,1831,0,0,0,0,0,0,0,0
B12,1831,0,0,0,0,0,0,0,0
C01,1727,0,0,0,0,0,0,0,0
C02,1846,0,0,0,0,0,0,0,0
C03,1822,0,0,0,0,0,0,0,0
C04,1842,0,1901,1983,0,0,0,0,0
C05,1851,0,0,0,0,0,0,0,0
C06,1857,0,0,0,0,0,0,0,0
C07,1875,0,0,0,0,0,0,0,0
C08,1840,0,0,0,0,0,0,0,0
C09,1833,0,0,0,0,0,0,0,0
C10,1827,0,0,0,0,0,0,0,0
C11,1850,0,0,0,0,0,0,0,0
C12,1826,0,0,0,0,0,0,0,0
D01,1829,0,0,0,0,0,0,0,0
D02,1857,0,0,0,0,0,0,0,0
D03,1843,0,0,0,0,0,0,0,0
D04,1840,1905,1958,1976,0,0,0,0,0
D05,1850,0,0,0,0,0,0,0,0
D06,1879,0,0,0,0,0,0,0,0
D07,1896,0,0,0,0,0,0,0,0
D08,1851,0,0,0,0,0,0,0,0
D09,1855,1870,1945,2004,0,0,0,0,0
D10,1840,0,0,0,0,0,0,0,0
D11,1828,0,0,0,0,0,0,0,0
D12,1824,0,0,0,0,0,0,0,0
E01,1833,0,0,0,0,0,0,0,0
E02,1843,0,0,0,0,0,0,0,0
E03,1830,0,0,0,0,0,0,0,0
E04,1846,0,0,0,0,0,0,0,0
E05,1853,0,0,0,0,0,0,0,0
E06,1862,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,0,0,0,0,0,0,0,0,0
E09,1858,0,0,0,0,0,0,0,0
E10,1840,0,0,0,0,0,0,0,0
E11,1832,0,0,0,0,0,0,0,0
E12,1828,0,0,0,0,0,0,0,0
F01,1839,0,0,0,0,0,0,0,0
F02,1854,0,0,0,0,0,0,0,0
F03,1820,0,0,0,0,0,0,0,0
F04,1840,1910,1926,1969,0,0,0,0,0
F05,1854,0,0,0,0,0,0,0,0
F06,1814,1833,1866,1873,0,0,0,0,0
F07,1873,0,0,0,0,0,0,0,0
F08,1866,0,0,0,0,0,0,0,0
F09,1840,0,0,0,0,0,0,0,0
F10,1832,0,0,0,0,0,0,0,0
F11,1854,0,0,0,0,0,0,0,0
F12,1819,0,0,0,0,0,0,0,0
G01,1844,0,0,0,0,0,0,0,0
G02,1868,0,1940,1999,0,0,0,0,0
G03,1855,0,0,0,0,0,0,0,0
G04,1838,1846,1911,1987,0,0,0,0,0
G05,1849,0,0,0,0,0,0,0,0
G06,1846,1853,0,0,0,0,1860,0,0
G07,1856,0,0,0,0,0,0,0,0
G08,1859,0,0,0,0,0,0,0,0
G09,0,0,0,0,0,0,0,0,0
G10,1827,0,0,0,0,0,0,0,0
G11,1838,0,0,0,0,0,0,0,0
G12,1836,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,1855,0,0,0,0,0,0,0,0
H03,1789,1807,1885,1899,0,0,0,0,0
H04,1816,0,0,0,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
H08,0,0,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
H10,1813,0,0,0,0,0,0,0,0
H11,1842,0,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
