Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,1704,0,0,0,0,0,0,0,0
A06,1743,0,0,0,0,0,0,0,0
A07,0,0,0,0,0,0,0,0,0
A08,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,0,0
A10,1670,0,0,0,0,0,0,0,0
A11,0,0,0,0,0,0,0,0,0
A12,0,0,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0
B02,0,0,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,1700,0,0,0,0,0,0,0,0
B06,1685,0,0,0,0,0,0,0,0
B07,0,0,0,0,0,0,0,0,0
B08,0,0,0,0,0,0,0,0,0
B09,0,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0,0
B11,0,0,0,0,0,0,0,0,0
B12,0,0,0,0,0,0,0,0,0
C01,0,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,1689,0,0,0,0,0,0,0,0
C04,1707,0,0,0,0,0,0,0,0
C05,1736,0,0,0,0,0,0,0,0
C06,1722,0,0,0,0,0,0,0,0
C07,1720,0,0,0,0,0,0,0,0
C08,0,0,0,0,0,0,0,0,0
C09,0,0,0,0,0,0,0,0,0
C10,1688,0,0,0,0,0,0,0,0
C11,0,0,0,0,0,0,0,0,0
C12,0,0,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D04,1705,0,0,0,0,0,0,0,0
D05,1727,0,0,0,0,0,0,0,0
D06,1730,0,0,0,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
D08,0,0,0,0,0,0,0,0,0
D09,0,0,0,0,0,0,0,0,0
D10,1713,0,0,0,0,0,0,0,0
D11,0,0,0,0,0,0,0,0,0
D12,0,0,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,1717,0,0,0,0,0,0,0,0
E05,1719,0,0,0,0,0,0,0,0
E06,1751,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,0,0,0,0,0,0,0,0,0
E09,0,0,0,0,0,0,0,0,0
E10,1721,0,0,0,0,0,0,0,0
E11,0,0,0,0,0,0,0,0,0
E12,0,0,0,0,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0
F02,1706,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,1720,0,0,0,0,0,0,0,0
F05,1726,0,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0
F08,0,0,0,0,0,0,0,0,0
F09,0,0,0,0,0,0,0,0,0
F10,1704,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0
F12,0,0,0,0,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,1691,0,0,0,0,0,0,0,0
G05,1719,0,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,0,0,0,0,0,0,0,0,0
G08,0,0,0,0,0,0,0,0,0
G09,0,0,0,0,0,0,0,0,0
G10,1720,0,0,0,0,0,0,0,0
G11,0,0,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,1683,0,0,0,0,0,0,0,0
H04,1686,0,0,0,0,0,0,0,0
H05,1699,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
H08,0,0,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
H10,1690,0,0,0,0,0,0,0,0
H11,0,0,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
