Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,1844,1850,1929,1944,0,0,0,0,0
A02,1854,1862,1946,1961,0,0,0,0,0
A03,1906,1915,2000,2016,0,0,0,0,0
A04,1827,1836,1925,1940,0,0,0,0,0
A05,1840,1847,1928,1945,0,0,0,0,0
A06,1841,1852,1944,1959,0,0,0,0,0
A07,1854,1864,1962,1978,0,0,0,0,0
A08,1838,1849,1939,1954,0,0,0,0,0
A09,1833,1839,1921,1936,0,0,0,0,0
A10,1823,1828,1894,1908,0,0,0,0,0
A11,1803,1818,1981,2000,0,0,0,0,0
A12,1810,1827,1979,1997,0,0,0,0,0
B01,1841,1848,1928,1943,0,0,0,0,0
B02,1859,1868,1953,1967,0,0,0,0,0
B03,1817,1826,1914,1928,0,0,0,0,0
B04,1853,1864,1943,1957,0,0,0,0,0
B05,1839,1923,1940,0,0,0,0,0,0
B06,1822,1833,1931,1946,0,0,0,0,0
B07,1857,1869,1972,1988,0,0,0,0,0
B08,1845,1856,1959,1974,0,0,0,0,0
B09,1841,1847,1933,1948,0,0,0,0,0
B10,1834,1840,1906,1920,0,0,0,0,0
B11,1793,1811,1973,1991,0,0,0,0,0
B12,1819,1835,1987,2005,0,0,0,0,0
C01,1777,1785,1865,1879,0,0,0,0,0
C02,1863,1872,1966,1981,0,0,0,0,0
C03,1839,1848,1927,1941,0,0,0,0,0
C04,1871,1881,1961,1974,0,0,0,0,0
C05,1833,1839,1925,1941,0,0,0,0,0
C06,1843,1854,1956,1971,0,0,0,0,0
C07,1856,1867,1964,1978,0,0,0,0,0
C08,1860,1951,1966,0,0,0,0,0,0
C09,1823,1832,1919,1935,0,0,0,0,0
C10,1837,1904,1918,0,0,0,0,0,0
C11,1804,1823,1986,2003,0,0,0,0,0
C12,1806,1822,1980,1999,0,0,0,0,0
D01,1841,1849,1936,1950,0,0,0,0,0
D02,1883,1895,1986,1998,0,0,0,0,0
D03,1855,1864,1947,1959,0,0,0,0,0
D04,1840,1849,1921,1934,0,0,0,0,0
D05,1872,1877,1954,1969,0,0,0,0,0
D06,1854,1866,1957,1971,0,0,0,0,0
D07,1860,1870,1958,1971,0,0,0,0,0
D08,1854,1864,1962,1977,0,0,0,0,0
D09,1792,1839,1848,0,0,0,0,0,0
D10,1848,1853,1884,1890,0,0,0,0,0
D11,1802,1821,1981,1999,0,0,0,0,0
D12,1795,1810,1970,1989,0,0,0,0,0
E01,1862,1871,1961,1976,0,0,0,0,0
E02,1848,1859,1943,1957,0,0,0,0,0
E03,1825,1834,1915,1929,0,0,0,0,0
E04,1885,1895,1971,1984,0,0,0,0,0
E05,1857,1864,1942,1957,0,0,0,0,0
E06,1876,1888,1976,1990,0,0,0,0,0
E07,1880,1888,1978,1992,0,0,0,0,0
E08,1882,1892,1993,2008,0,0,0,0,0
E09,1837,1846,1933,1949,0,0,0,0,0
E10,1894,1900,1971,1985,0,0,0,0,0
E11,1813,1831,1987,2005,0,0,0,0,0
E12,1799,1814,1974,1992,0,0,0,0,0
F01,1871,1881,1973,1988,0,0,0,0,0
F02,1858,1869,1964,1978,0,0,0,0,0
F03,1838,1846,1929,1946,0,0,0,0,0
F04,1887,1972,0,0,0,0,0,0,0
F05,1857,1866,1953,1968,0,0,0,0,0
F06,1868,1880,1974,1988,0,0,0,0,0
F07,1858,1868,1968,1984,0,0,0,0,0
F08,1850,1860,1959,1975,0,0,0,0,0
F09,1826,1835,1928,1943,0,0,0,0,0
F10,1867,1873,1945,1958,0,0,0,0,0
F11,1815,1833,1992,2010,0,0,0,0,0
F12,1809,1824,1984,2003,0,0,0,0,0
G01,1890,1983,1994,0,0,0,0,0,0
G02,1864,1875,1973,1988,0,0,0,0,0
G03,1842,1850,1931,1947,0,0,0,0,0
G04,1852,1862,1934,1948,0,0,0,0,0
G05,1832,1838,1935,1952,0,0,0,0,0
G06,1882,1892,1992,2005,0,0,0,0,0
G07,1846,1856,1950,1966,0,0,0,0,0
G08,1850,1944,1962,0,0,0,0,0,0
G09,1828,1838,1937,1953,0,0,0,0,0
G10,1839,1915,1928,0,0,0,0,0,0
G11,1817,1835,1993,2011,0,0,0,0,0
G12,1809,1824,1982,1999,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,1821,1830,1907,1921,0,0,0,0,0
H04,1857,1865,1943,1958,0,0,0,0,0
H05,1830,1839,1931,1947,0,0,0,0,0
H06,1866,1968,1981,0,0,0,0,0,0
H07,1844,1855,1952,1967,0,0,0,0,0
H08,1843,1852,1949,1964,0,0,0,0,0
H09,1810,1906,1921,0,0,0,0,0,0
H10,0,0,0,0,0,0,0,0,0
H11,1820,1838,1997,2013,0,0,0,0,0
H12,1793,1807,1965,1985,0,0,0,0,0
