Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A01,1823,1834,1986,2005,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A02,1838,1853,1992,2011,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A03,2238,2249,2440,2467,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A04,2260,2277,2473,2501,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A05,2904,3055,0,0,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A06,2868,3027,0,0,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A07,1676,1690,1795,1807,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A08,1656,1671,1769,1780,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A09,1767,1780,1909,1926,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A10,1750,1761,1884,1901,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A11,1845,1856,1997,2017,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_A12,1851,1864,2005,2022,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_B01,1831,1843,1995,2015,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_B02,1849,1864,2002,2019,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_B03,2241,2257,2449,2475,0,0,0,0,0
20190815_EFSYMB6_multiplegelsdilutions_pfux7_52_49Run01_B04,2297,2315,2492,2519,0,0,0,0,0
