Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A01,2045,2060,2256,2282,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A02,2060,2078,2262,2287,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A03,1812,1825,1972,1990,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A04,1801,1815,1960,1975,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A05,1971,1985,2159,2183,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A06,1962,1983,2160,2181,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A07,2080,2105,2317,2342,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A08,2086,2109,2314,2340,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A09,2007,2027,2225,2249,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A10,1857,1876,1982,2000,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A11,1709,1720,1878,1907,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_A12,1718,1731,1863,1879,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B01,2055,2069,2294,2317,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B02,1928,1949,2081,2102,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B03,1810,1823,1969,1987,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B04,1729,1747,1839,1853,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B05,1834,1855,1944,1960,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B06,1814,1835,1948,1970,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B07,1920,1943,2091,2117,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B08,2082,2108,2320,2343,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B09,1895,1916,2030,2050,0,0,0,0,0
20190819_EFSYMB_6_TESTGEL_dilutions_lpa_pdma_pfux7_52_49Ru_B10,1976,1989,2205,2212,0,0,0,0,0
