Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A01,1853,1880,2050,2061,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A02,1858,1887,2035,2047,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A03,2118,2151,2364,2383,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A04,2141,2174,2375,2395,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A05,2202,2229,2412,2428,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A06,2262,2290,2460,2474,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A07,2014,2038,2201,2216,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A08,1994,2016,2166,2183,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A09,1918,1944,2104,2116,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A10,1891,1914,2081,2097,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A11,1964,1985,2174,2194,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_A12,1979,2002,2176,2194,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_B01,1851,1879,2048,2060,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_B02,1889,1917,2064,2075,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_B03,2124,2153,2363,2384,0,0,0,0,0
20190827_testgels_EFSYMB_6_pdma_lpa_3_54_51Run01_B04,2171,2200,2390,2409,0,0,0,0,0
