Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190905_geltesting_lpa_pdma_54_51Run01_A03,1833,1850,1973,1989,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A04,1830,1848,1973,1989,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A05,1796,1811,1920,1934,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A06,1838,1855,1977,1993,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A07,2054,2076,2256,2277,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A08,2070,2094,2283,2304,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A09,1931,1951,2095,2111,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A10,1931,1950,2086,2101,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A11,1986,2004,2139,2154,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_A12,1995,2010,2130,2147,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B03,1836,1854,1975,1991,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B04,1831,1851,1981,1996,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B05,1794,1809,1930,1946,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B06,1795,1810,1931,1946,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B07,2028,2050,2224,2245,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B08,2048,2070,2251,2272,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B09,1921,1940,2073,2088,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B10,1919,1937,2076,2091,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B11,0,0,0,0,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_B12,1994,2008,2130,2148,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C03,1831,1850,1978,1993,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C04,1875,1893,2027,2044,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C05,1805,1820,1939,1954,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C06,1806,1823,1946,1960,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C07,2032,2054,2233,2254,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C08,2041,2063,2241,2261,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C09,1929,1948,2074,2090,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C10,1944,1965,2094,2109,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C11,0,0,0,0,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_C12,1986,2000,2124,2144,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D03,1826,1842,1968,1984,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D04,1816,1834,1966,1981,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D05,1792,1806,1925,1940,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D06,1868,1884,2010,2026,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D07,2031,2053,2226,2247,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D08,2061,2084,2251,2271,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D09,1951,1972,0,0,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D10,1941,1961,0,0,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D11,1975,1995,2131,2148,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_D12,1976,1988,2119,2138,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E03,1849,1867,1999,2015,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E04,1847,1862,1993,2008,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E05,1803,1816,1931,1947,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E06,2063,2079,2235,2257,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E07,2066,2088,2264,2285,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E08,2070,2092,2269,2289,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E09,1942,1964,2098,2112,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E10,1966,1985,2127,2142,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E11,1991,2013,2149,2164,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_E12,0,0,0,0,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F03,1831,1849,1984,1999,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F04,1832,1848,1979,1995,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F05,1785,1798,1913,1928,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F06,1788,1802,1925,1940,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F07,2031,2052,2224,2244,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F08,2075,2099,2275,2294,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F09,1985,2007,2169,2202,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F10,1986,2007,2145,2160,0,0,0,0,0
20190905_geltesting_lpa_pdma_54_51Run01_F11,0,0,0,0,0,0,0,0,0
