values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2032,2073,2182,2218,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1968,1987,2045,2155,0,0,0,0,0
1980,2032,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2056,2087,2181,2265,0,0,0,0,0
2140,2185,2309,2400,0,0,0,0,0
2142,2192,2289,2314,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1894,1945,2016,2047,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2041,2085,2192,2231,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1944,1994,2055,2174,0,0,0,0,0
2032,2068,2166,2236,0,0,0,0,0
2003,2032,2127,2206,0,0,0,0,0
2164,2224,2291,2339,0,0,0,0,0
2162,2208,2313,2326,0,0,0,0,0
1926,1949,2047,2130,0,0,0,0,0
1899,1955,2021,2052,2071,0,0,0,0
1873,1903,1923,1994,2024,2043,0,0,0
0,0,0,0,0,0,0,0,0
1951,1989,2092,2171,0,0,0,0,0
2132,2166,2187,2220,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1938,1981,2021,2137,0,0,0,0,0
2050,2082,2180,2262,0,0,0,0,0
2017,2053,2144,2212,0,0,0,0,0
2158,2216,2311,2337,0,0,0,0,0
2159,2193,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2015,2046,2065,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1927,1967,2062,2129,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1938,1971,2020,0,0,0,0,0,0
2072,2108,2211,2293,0,0,0,0,0
2079,2110,2198,2279,0,0,0,0,0
2160,2217,2272,2342,0,0,0,0,0
2134,2175,2288,2358,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1903,2025,2057,2076,0,0,0,0,0
1901,2021,2052,2071,0,0,0,0,0
1889,1941,1994,2008,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1995,2042,2146,2226,0,0,0,0,0
2094,2127,2225,2312,0,0,0,0,0
2147,2204,2307,2333,0,0,0,0,0
2116,2161,2278,2289,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1889,1941,1995,2024,0,0,0,0,0
1902,1938,1988,2088,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2013,2062,2165,2241,0,0,0,0,0
1991,2027,2122,2198,0,0,0,0,0
2171,2231,2320,2359,0,0,0,0,0
2162,2198,2306,2319,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1928,1975,2074,2144,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2003,0,2067,0,0,0,0,0,0
1994,0,2033,0,0,0,0,0,0
2003,2046,2146,2146,0,0,0,0,0
2082,2122,2228,2314,0,0,0,0,0
2194,2242,2334,2368,0,0,0,0,0
2084,2129,2165,2282,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1925,1969,2069,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2020,2067,0,0,0,0,0,0,0
0,1981,2022,0,0,0,0,0,0
2180,2224,2320,2346,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2066,2071,2132,2137,0,0,0,0,0
2079,2085,2147,2153,0,0,0,0,0
2138,2143,2210,2215,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2121,2128,2191,2199,0,0,0,0,0
2120,2128,0,2192,2201,2210,0,0,0
2232,2237,2314,2321,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2073,2078,2140,2146,0,0,0,0,0
2061,2067,2129,2135,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2152,2220,2227,0,0,0,0,0
2065,2071,2137,2143,0,0,0,0,0
2074,2081,2143,2148,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2221,2228,2306,2312,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2137,2143,0,2208,2214,2219,2426,2434,2467
2215,2221,2297,2303,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2070,2075,2136,2142,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2054,2062,2126,2132,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2263,2272,2352,2358,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2121,2128,0,2194,2205,2211,2411,2418,2452
2189,2196,2267,2274,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2053,2059,2120,2126,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2072,2132,2140,0,0,0,0,0
0,2263,2271,2346,2354,2360,2579,2587,2606
2216,2223,2302,2309,0,0,0,0,0
0,2122,2129,2195,2203,2213,0,0,0
0,2128,2135,2200,2207,2217,2417,2425,2453
2183,2190,2262,2268,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2097,0,2161,2167,0,0,0,0,0
2069,2075,0,2137,2143,0,2353,2360,2394
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2058,2066,2127,2134,0,0,0,0,0
2283,2294,2369,2375,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2121,0,0,0,0,0,0,0
2144,2151,2215,2222,0,0,0,0,0
0,2205,2212,2286,2295,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2081,2086,2149,2154,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2068,2076,2138,2145,0,0,0,0,0
0,2221,2229,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2147,2154,2218,2224,0,0,0,0,0
2205,2212,2284,2292,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2059,2064,2126,2130,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2062,2070,2133,2140,0,0,0,0,0
2292,2304,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2103,2110,2174,2184,2191,0,0,0
0,2147,2207,2213,0,0,0,0,0
2195,2202,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2353,2410,2510,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2132,2154,2227,2386,0,0,0,0,0
2113,2140,2224,2363,0,0,0,0,0
2250,2315,2410,2466,0,0,0,0,0
2224,2295,2381,2442,0,0,0,0,0
2193,2238,2322,2417,0,0,0,0,0
2209,2248,2326,2444,0,0,0,0,0
2195,0,2268,2411,0,0,0,0,0
2148,2171,2242,2384,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2425,2487,2585,2682,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2149,2173,2244,2397,0,0,0,0,0
2113,2142,2225,2360,0,0,0,0,0
2259,2271,2321,2396,2408,2489,0,0,0
2242,2304,2388,2466,0,0,0,0,0
2183,2220,2296,2414,0,0,0,0,0
2152,2177,2247,2410,0,0,0,0,0
2152,2175,2248,2388,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2153,2177,2247,2403,0,0,0,0,0
2432,0,2516,2528,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2142,2158,2239,2387,0,0,0,0,0
2245,2257,2303,2382,2393,2469,2502,0,0
2263,2323,2410,2504,0,0,0,0,0
2192,2240,2321,2416,0,0,0,0,0
2192,2228,2303,2425,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2151,2173,2247,2403,0,0,0,0,0
2148,2176,2246,2395,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2141,2168,2239,2252,0,0,0,0,0
2134,2150,2233,2369,0,0,0,0,0
2215,2273,2353,2365,0,0,0,0,0
2249,2311,2397,2481,0,0,0,0,0
2146,2171,2244,2387,0,0,0,0,0
2158,2182,2253,2418,0,0,0,0,0
2161,2184,2257,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2154,2187,2258,2403,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2132,2143,2161,2231,2242,0,0,0,0
2248,2321,2408,2455,0,0,0,0,0
2250,2323,2409,2471,0,0,0,0,0
2194,2233,2308,2425,0,0,0,0,0
2176,2205,2278,2431,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2145,2172,2243,2396,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2121,2149,2231,2370,0,0,0,0,0
2147,2171,2236,2384,0,0,0,0,0
2252,2322,2411,2461,0,0,0,0,0
2244,2306,2393,2468,0,0,0,0,0
2192,2216,2290,2449,0,0,0,0,0
2187,2228,2306,2428,0,0,0,0,0
2221,2245,2320,2463,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2155,2182,2252,2407,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2134,2164,2235,2247,0,0,0,0,0
2162,2179,2247,2405,0,0,0,0,0
2254,2313,2401,2486,0,0,0,0,0
2245,2315,2407,2455,0,0,0,0,0
2189,2223,2298,2428,0,0,0,0,0
2200,2250,2331,2422,0,0,0,0,0
0,2199,2272,2415,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2152,2182,2253,2403,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
