Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A01,1844,1850,1929,1944,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A02,1854,1862,1946,1961,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A03,1906,1915,2000,2016,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A04,1827,1836,1925,1940,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A05,1840,1847,1928,1945,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A06,1841,1852,1944,1959,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A07,1854,1864,1962,1978,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A08,1838,1849,1939,1954,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A09,1833,1839,1921,1936,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A10,1823,1828,1894,1908,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A11,1803,1818,1981,2000,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_A12,1810,1827,1979,1997,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B01,1841,1848,1928,1943,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B02,1859,1868,1953,1967,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B03,1817,1826,1914,1928,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B04,1853,1864,1943,1957,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B05,1839,1923,1940,0,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B06,1822,1833,1931,1946,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B07,1857,1869,1972,1988,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B08,1845,1856,1959,1974,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B09,1841,1847,1933,1948,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B10,1834,1840,1906,1920,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B11,1793,1811,1973,1991,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_B12,1819,1835,1987,2005,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C01,1777,1785,1865,1879,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C02,1863,1872,1966,1981,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C03,1839,1848,1927,1941,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C04,1871,1881,1961,1974,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C05,1833,1839,1925,1941,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C06,1843,1854,1956,1971,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C07,1856,1867,1964,1978,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C08,1860,1951,1966,0,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C09,1823,1832,1919,1935,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C10,1837,1904,1918,0,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C11,1804,1823,1986,2003,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_C12,1806,1822,1980,1999,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D01,1841,1849,1936,1950,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D02,1883,1895,1986,1998,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D03,1855,1864,1947,1959,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D04,1840,1849,1921,1934,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D05,1872,1877,1954,1969,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D06,1854,1866,1957,1971,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D07,1860,1870,1958,1971,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D08,1854,1864,1962,1977,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D09,1792,1839,1848,0,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D10,1848,1853,1884,1890,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D11,1802,1821,1981,1999,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_D12,1795,1810,1970,1989,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_E01,1862,1871,1961,1976,0,0,0,0,0
20190814_EFSYMB_6_geltest_LPA_3_1diluted_pfux7_macro52_49R_E02,1848,1859,1943,1957,0,0,0,0,0
