Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190809_EFSYMB_15_plate29_55_52Run01_A01,1853,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A02,1979,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A03,1824,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A04,1954,2095,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A05,1944,2110,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A06,1963,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A07,1964,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_A12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B01,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B02,1992,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B03,1952,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B04,1982,2121,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B05,1940,2106,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B06,1958,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B07,1882,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_B12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_C01,1806,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_55_52Run01_C02,1995,0,0,0,0,0,0,0,0
