Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190814_LHR52_3_plate32_54_51Run01_A01,1748,2021,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A02,1791,1809,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A03,1745,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A04,1775,1823,1882,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A05,1803,1828,2116,2127,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A06,1697,1827,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A07,1945,1975,2003,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A08,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A09,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A10,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A11,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_A12,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B01,1778,2075,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B02,1774,1803,1873,1888,2028,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B03,1751,1760,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B04,1793,1805,1891,2075,2084,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B05,1795,1819,1904,2113,2124,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B06,1768,1781,1814,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B07,1833,1900,2069,2104,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B08,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B09,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B10,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B11,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_B12,0,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C01,1764,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C02,1758,1859,1882,2018,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C03,1752,0,0,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C04,1812,1891,2089,2101,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C05,1791,2114,2125,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C06,1793,1827,1849,1873,1926,2059,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C07,1792,1809,1829,0,0,0,0,0,0
20190814_LHR52_3_plate32_54_51Run01_C08,0,0,0,0,0,0,0,0,0
