Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190814_SEH1581_1_plate22_54_51Run01_A01,1774,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A02,1780,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A03,1752,1896,1936,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A04,1761,1912,1947,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A05,1999,2021,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A06,1816,1832,1969,2009,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A07,1813,2012,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A08,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A09,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A10,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A11,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_A12,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B01,1788,1830,1935,1973,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B02,1828,1863,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B03,1743,1889,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B04,1771,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B05,2000,2022,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B06,1994,2018,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B07,1956,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B08,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B09,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B10,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B11,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_B12,0,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_C01,1712,1729,1750,1856,1895,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_C02,1779,0,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_C03,1758,1902,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_C04,1774,1957,0,0,0,0,0,0,0
20190814_SEH1581_1_plate22_54_51Run01_C05,2005,0,0,0,0,0,0,0,0
