Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190913_GradientPCR_1_58_55Run01_A01,2037,2082,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A02,1983,2015,2052,2098,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A03,1984,2029,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A04,1986,2023,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A05,1952,2004,2048,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A06,2039,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A07,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A08,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A09,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A10,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A11,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_A12,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B01,1846,1990,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B02,1874,1998,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B03,1830,1965,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B04,1840,1960,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B05,1835,1965,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B06,1848,1960,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B07,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B08,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B09,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B10,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B11,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_B12,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C01,1850,1862,1932,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C02,1937,1958,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C03,1890,1986,1991,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C04,1899,1924,1994,2001,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C05,1839,1925,2001,2005,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C06,1840,1901,1917,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C07,1845,1901,1921,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C08,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C09,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C10,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C11,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_C12,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D01,1921,1985,2019,2046,2110,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D02,1955,2037,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D03,1892,1987,2012,2027,2080,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D04,1870,1881,1918,1967,1993,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D05,1885,1899,1939,1944,2014,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D06,2014,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D07,1999,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D08,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D09,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D10,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D11,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_D12,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E01,1835,2036,2048,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E02,1841,2006,2016,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E03,1911,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E04,1818,2002,2016,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E05,1807,2020,2035,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E06,1824,2014,2027,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E07,1820,1924,1949,2031,2045,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E08,1839,1939,1963,2034,2047,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E09,1783,1820,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E10,1766,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E11,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_E12,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_F01,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_F02,1997,2029,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_F03,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_F04,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_F05,0,0,0,0,0,0,0,0,0
20190913_GradientPCR_1_58_55Run01_F06,0,0,0,0,0,0,0,0,0
