Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A01,1904,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A02,1926,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A03,1891,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A04,1884,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A05,1925,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A06,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A07,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A08,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A09,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A10,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A11,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_A12,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B01,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B02,1852,1919,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B03,1822,1891,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B04,1841,1907,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B05,1848,1918,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B06,1843,1927,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B07,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B08,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B09,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B10,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B11,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_B12,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C01,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C02,2107,2143,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C03,2072,2112,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C04,2059,2100,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C05,2120,2140,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C06,2112,2138,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C07,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C08,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C09,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C10,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C11,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_C12,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D01,1865,1953,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D02,1892,1989,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D03,1879,1965,2222,2235,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D04,1847,1930,2179,2195,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D05,1881,1972,2253,2265,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D06,1895,1994,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D07,1916,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D08,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D09,0,0,0,0,0,0,0,0,0
20190816_prob1_8_Gradient_annealtemp_52_49Run01_D10,0,0,0,0,0,0,0,0,0
