Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20190809_EFSYMB_15_plate29_53_50_Run01_A01,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A02,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A03,1903,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A04,2107,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A05,2106,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A06,1918,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A07,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_A12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B01,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B02,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B03,1903,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B04,2130,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B05,2098,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B06,1916,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B07,1945,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_B12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C01,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C02,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C03,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C04,2120,2138,2262,2270,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C05,2066,2084,2118,2124,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C06,2039,2044,2129,2132,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C07,1882,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_C12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D01,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D02,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D03,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D04,2108,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D05,2074,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D06,1934,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D07,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_D12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E01,1919,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E02,2057,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E03,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E04,2086,2092,2151,2155,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E05,0,0,2148,2152,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E06,2068,2073,2144,2148,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E07,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_E12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F01,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F02,1896,1964,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F03,1916,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F04,2052,2056,2123,2127,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F05,2134,2140,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F06,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F07,2170,2241,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F08,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F09,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F10,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F11,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_F12,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G01,1958,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G02,1974,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G03,2153,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G04,2116,2121,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G05,2146,2150,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G06,0,0,0,0,0,0,0,0,0
20190809_EFSYMB_15_plate29_53_50_Run01_G07,0,0,0,0,0,0,0,0,0
