Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A01,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A02,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A03,1853,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A04,1821,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A05,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A06,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A07,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A08,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A09,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A10,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A11,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_A12,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B01,1785,1806,1969,1984,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B02,1818,1840,1991,2003,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B03,1757,1797,1976,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B04,1845,1867,2018,2030,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B05,1804,1824,1985,2001,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B06,1739,1762,1900,1910,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B07,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B08,1807,1831,1977,1987,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B09,1855,1879,2010,2026,2044,2058,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B10,0,1822,1843,1976,1993,2011,2028,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B11,1770,1790,1917,1934,1951,1968,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_B12,1815,1834,1969,1986,2004,2022,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C01,2033,2066,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C02,2046,2109,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C03,2176,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C04,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C05,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C06,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C07,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C08,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C09,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C10,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C11,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_C12,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D01,2281,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D02,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D03,0,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D04,2019,2067,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D05,1885,2222,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D06,2066,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D07,2173,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D08,2090,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D09,2143,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D10,2244,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D11,2187,0,0,0,0,0,0,0,0
20191029_BBIprimers1_PrimerAssay_1_02_54_51Run01_D12,2205,0,0,0,0,0,0,0,0
