Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20191112_Assay_1_Plate_1_59-56Run01_A01,1939,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A02,1928,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A03,1921,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A04,1875,1902,2001,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A05,1956,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A06,1940,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A07,1788,1846,1915,1956,1966,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A08,1770,1827,1895,1945,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A09,1754,1815,1881,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A10,1737,1787,1856,1924,1935,2016,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A11,1701,1749,1811,1888,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_A12,1702,1748,1808,1867,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B01,1941,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B02,1948,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B03,1915,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B04,1862,1889,1989,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B05,1954,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B06,1940,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B07,1809,1871,1937,1976,1986,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B08,1894,1946,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B09,1898,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B10,1743,1794,1863,1931,1943,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B11,1695,1806,1881,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_B12,1806,1998,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C01,1821,1839,1860,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C02,0,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C03,0,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C04,1912,2001,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C05,1958,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C06,0,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C07,1782,1838,1904,1944,1955,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C08,1776,1839,1910,1966,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C09,0,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C10,1870,1900,1976,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C11,0,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_C12,0,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_D01,1975,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_D02,1951,0,0,0,0,0,0,0,0
20191112_Assay_1_Plate_1_59-56Run01_D03,0,0,0,0,0,0,0,0,0
