Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
20191113_Assay_1_Plate_2_59-56Run01_A01,1796,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A02,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A03,1730,1816,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A04,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A05,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A07,1728,1734,1844,1879,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A08,1721,1827,1861,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A09,1727,1819,1853,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A10,1650,1743,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A11,1660,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_A12,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B01,1759,1865,2148,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B02,1985,2022,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B03,1731,1812,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B04,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B05,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B07,1744,1865,1902,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B08,1722,1840,1875,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B09,1735,1836,1870,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B10,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B11,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_B12,1871,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C01,1909,2012,2042,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C02,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C03,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C04,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C05,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C07,1730,1843,1876,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C08,1735,1740,1854,1891,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C09,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C10,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C11,1855,1955,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_C12,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D01,1713,1737,1825,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D02,1697,1823,1873,1932,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D03,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D04,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D05,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D07,1733,1739,1831,1841,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D08,1745,1751,1869,1904,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D09,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D10,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D11,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_D12,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E01,1704,1727,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E02,1697,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E03,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E04,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E05,1653,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E07,1732,1740,1868,1905,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E08,1763,1770,1891,1926,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E09,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E10,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E11,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_E12,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F01,1693,1964,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F02,1691,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F03,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F04,1627,1648,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F05,1653,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F07,1849,1865,1903,1942,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F08,1719,1725,1837,1871,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F09,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F10,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F11,1836,1942,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_F12,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G01,1751,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G02,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G03,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G04,1627,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G05,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G07,1738,1746,1870,1906,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G08,1744,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G09,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G10,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G11,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_G12,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H01,1699,1768,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H02,1696,1767,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H03,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H04,1641,1663,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H05,1656,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H06,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H07,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H08,1735,1848,1886,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H09,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H10,1743,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H11,0,0,0,0,0,0,0,0,0
20191113_Assay_1_Plate_2_59-56Run01_H12,0,0,0,0,0,0,0,0,0
