Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,0,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,0,0,0,0,0,0,0,0,0
A08,0,0,0,0,0,0,0,0,0
A09,0,0,0,0,0,0,0,0,0
A10,0,0,0,0,0,0,0,0,0
A11,2066,2071,2132,2137,0,0,0,0,0
A12,2079,2085,2147,2153,0,0,0,0,0
B01,2138,2143,2210,2215,0,0,0,0,0
B02,0,0,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,0,0,0,0,0,0,0,0,0
B06,0,0,0,0,0,0,0,0,0
B07,2121,2128,2191,2199,0,0,0,0,0
B08,2120,2128,0,2192,2201,2210,0,0,0
B09,2232,2237,2314,2321,0,0,0,0,0
B10,0,0,0,0,0,0,0,0,0
B11,2073,2078,2140,2146,0,0,0,0,0
B12,2061,2067,2129,2135,0,0,0,0,0
C01,0,0,0,0,0,0,0,0,0
C02,0,2152,2220,2227,0,0,0,0,0
C03,2065,2071,2137,2143,0,0,0,0,0
C04,2074,2081,2143,2148,0,0,0,0,0
C05,0,0,0,0,0,0,0,0,0
C06,2221,2228,2306,2312,0,0,0,0,0
C07,0,0,0,0,0,0,0,0,0
C08,2137,2143,0,2208,2214,2219,2426,2434,2467
C09,2215,2221,2297,2303,0,0,0,0,0
C10,0,0,0,0,0,0,0,0,0
C11,2070,2075,2136,2142,0,0,0,0,0
C12,0,0,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D04,2054,2062,2126,2132,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0
D06,2263,2272,2352,2358,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
D08,2121,2128,0,2194,2205,2211,2411,2418,2452
D09,2189,2196,2267,2274,0,0,0,0,0
D10,0,0,0,0,0,0,0,0,0
D11,2053,2059,2120,2126,0,0,0,0,0
D12,0,0,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,0,2072,2132,2140,0,0,0,0,0
E05,0,2263,2271,2346,2354,2360,2579,2587,2606
E06,2216,2223,2302,2309,0,0,0,0,0
E07,0,2122,2129,2195,2203,2213,0,0,0
E08,0,2128,2135,2200,2207,2217,2417,2425,2453
E09,2183,2190,2262,2268,0,0,0,0,0
E10,0,0,0,0,0,0,0,0,0
E11,2097,0,2161,2167,0,0,0,0,0
E12,2069,2075,0,2137,2143,0,2353,2360,2394
F01,0,0,0,0,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,2058,2066,2127,2134,0,0,0,0,0
F05,2283,2294,2369,2375,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,0,2121,0,0,0,0,0,0,0
F08,2144,2151,2215,2222,0,0,0,0,0
F09,0,2205,2212,2286,2295,0,0,0,0
F10,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0
F12,2081,2086,2149,2154,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,2068,2076,2138,2145,0,0,0,0,0
G05,0,2221,2229,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,0,0,0,0,0,0,0,0,0
G08,2147,2154,2218,2224,0,0,0,0,0
G09,2205,2212,2284,2292,0,0,0,0,0
G10,0,0,0,0,0,0,0,0,0
G11,0,0,0,0,0,0,0,0,0
G12,2059,2064,2126,2130,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H04,2062,2070,2133,2140,0,0,0,0,0
H05,2292,2304,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,2103,2110,2174,2184,2191,0,0,0
H08,0,2147,2207,2213,0,0,0,0,0
H09,2195,2202,0,0,0,0,0,0,0
H10,0,0,0,0,0,0,0,0,0
H11,0,0,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
