Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,0,2353,2410,2510,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,2132,2154,2227,2386,0,0,0,0,0
A08,2113,2140,2224,2363,0,0,0,0,0
A09,2250,2315,2410,2466,0,0,0,0,0
A10,2224,2295,2381,2442,0,0,0,0,0
A11,2193,2238,2322,2417,0,0,0,0,0
A12,2209,2248,2326,2444,0,0,0,0,0
B01,2195,0,2268,2411,0,0,0,0,0
B02,2148,2171,2242,2384,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,2425,2487,2585,2682,0,0,0,0,0
B06,0,0,0,0,0,0,0,0,0
B07,2149,2173,2244,2397,0,0,0,0,0
B08,2113,2142,2225,2360,0,0,0,0,0
B09,2259,2271,2321,2396,2408,2489,0,0,0
B10,2242,2304,2388,2466,0,0,0,0,0
B11,2183,2220,2296,2414,0,0,0,0,0
B12,2152,2177,2247,2410,0,0,0,0,0
C01,2152,2175,2248,2388,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,0,0,0,0,0,0,0,0,0
C04,2153,2177,2247,2403,0,0,0,0,0
C05,2432,0,2516,2528,0,0,0,0,0
C06,0,0,0,0,0,0,0,0,0
C07,0,0,0,0,0,0,0,0,0
C08,2142,2158,2239,2387,0,0,0,0,0
C09,2245,2257,2303,2382,2393,2469,2502,0,0
C10,2263,2323,2410,2504,0,0,0,0,0
C11,2192,2240,2321,2416,0,0,0,0,0
C12,2192,2228,2303,2425,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,2151,2173,2247,2403,0,0,0,0,0
D04,2148,2176,2246,2395,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0
D06,0,0,0,0,0,0,0,0,0
D07,2141,2168,2239,2252,0,0,0,0,0
D08,2134,2150,2233,2369,0,0,0,0,0
D09,2215,2273,2353,2365,0,0,0,0,0
D10,2249,2311,2397,2481,0,0,0,0,0
D11,2146,2171,2244,2387,0,0,0,0,0
D12,2158,2182,2253,2418,0,0,0,0,0
E01,2161,2184,2257,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,2154,2187,2258,2403,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,0
E06,0,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,2132,2143,2161,2231,2242,0,0,0,0
E09,2248,2321,2408,2455,0,0,0,0,0
E10,2250,2323,2409,2471,0,0,0,0,0
E11,2194,2233,2308,2425,0,0,0,0,0
E12,2176,2205,2278,2431,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,2145,2172,2243,2396,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,2121,2149,2231,2370,0,0,0,0,0
F08,2147,2171,2236,2384,0,0,0,0,0
F09,2252,2322,2411,2461,0,0,0,0,0
F10,2244,2306,2393,2468,0,0,0,0,0
F11,2192,2216,2290,2449,0,0,0,0,0
F12,2187,2228,2306,2428,0,0,0,0,0
G01,2221,2245,2320,2463,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,2155,2182,2252,2407,0,0,0,0,0
G05,0,0,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,2134,2164,2235,2247,0,0,0,0,0
G08,2162,2179,2247,2405,0,0,0,0,0
G09,2254,2313,2401,2486,0,0,0,0,0
G10,2245,2315,2407,2455,0,0,0,0,0
G11,2189,2223,2298,2428,0,0,0,0,0
G12,2200,2250,2331,2422,0,0,0,0,0
H01,0,2199,2272,2415,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H04,2152,2182,2253,2403,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,2106,2127,2209,2347,0,0,0,0,0
H08,2123,2147,2218,2367,0,0,0,0,0
H09,2213,2272,2366,2424,0,0,0,0,0
H10,2234,2286,2370,2382,0,0,0,0,0
H11,2185,2209,2282,2437,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
