Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,2071,2093,0,0,0,0,0,0,0
A02,2038,0,0,0,0,0,0,0,0
A03,2133,0,0,2455,0,0,0,0,0
A04,2085,0,0,0,0,0,0,0,0
A05,2062,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,2129,0,0,0,0,0,0,0,0
A08,2031,0,0,0,0,0,0,0,0
A09,2153,0,0,0,0,0,0,0,0
A10,2125,0,0,0,0,0,0,0,0
A11,2147,0,0,0,0,0,0,0,0
A12,2268,0,0,0,0,0,0,0,0
B01,2057,0,0,0,0,0,0,0,0
B02,2036,0,0,0,0,0,0,0,0
B03,2125,0,0,0,0,0,0,0,0
B04,2060,2071,2219,2232,0,0,0,0,0
B05,2072,0,0,0,0,0,0,0,0
B06,2036,0,0,0,0,0,0,0,0
B07,2103,0,0,0,0,0,0,0,0
B08,2106,0,0,0,0,0,0,0,0
B09,2110,0,0,0,0,0,0,0,0
B10,2152,0,2252,2267,0,0,0,0,0
B11,2095,0,0,0,0,0,0,0,0
B12,2117,0,0,0,0,0,0,0,0
C01,0,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,2070,0,0,0,0,0,0,0,0
C04,2102,0,0,0,0,0,0,0,0
C05,0,0,0,0,0,0,0,0,0
C06,2031,0,2128,2177,0,0,0,0,0
C07,2059,0,0,0,0,0,0,0,0
C08,2062,0,0,0,0,0,0,0,0
C09,2147,0,0,0,0,0,0,0,0
C10,2074,0,0,0,0,0,0,0,0
C11,2150,0,0,0,0,0,0,0,0
C12,2089,0,0,0,0,0,0,0,0
D01,2050,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,2396
D03,2068,0,0,0,0,0,0,0,0
D04,2057,0,2165,2194,0,0,0,0,0
D05,2085,0,0,0,0,0,0,0,0
D06,2055,0,0,2207,0,0,0,0,0
D07,2040,0,0,0,0,0,0,0,0
D08,2045,2067,2138,2173,0,0,0,0,0
D09,2155,0,2292,2354,0,0,0,0,0
D10,2183,0,0,0,0,0,0,0,0
D11,2151,0,0,0,0,0,0,0,0
D12,2158,0,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,1999,0,0,0,0,0,0,0,0
E03,2106,0,0,0,0,0,0,0,0
E04,2068,0,0,0,0,0,0,0,0
E05,2040,0,2323,2334,0,0,0,0,0
E06,2053,0,0,2196,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,0,0,0,0,0,0,0,0,0
E09,2167,0,0,0,0,0,0,0,0
E10,2118,0,0,0,0,0,0,0,0
E11,2131,0,0,0,0,0,0,0,0
E12,2090,0,0,0,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0
F02,1977,0,0,0,0,0,0,0,0
F03,2061,0,0,0,0,0,0,0,0
F04,2072,0,2160,2218,0,0,0,0,0
F05,2047,0,0,2195,0,0,0,0,0
F06,2104,2128,2137,2156,2167,2234,2244,2385,0
F07,2077,0,0,0,0,0,0,0,0
F08,2048,0,0,0,0,0,0,0,0
F09,0,0,0,0,0,0,0,0,0
F10,2148,0,0,0,0,0,0,0,0
F11,2069,0,0,0,0,0,0,0,0
F12,2104,0,0,0,0,0,0,0,0
G01,2056,0,2167,2215,0,0,0,0,0
G02,2001,0,2281,2302,0,0,0,0,0
G03,2069,0,0,0,0,0,0,0,0
G04,2072,0,0,2167,0,0,0,0,0
G05,2049,0,0,0,0,0,0,0,0
G06,2010,2042,2070,2078,0,0,0,0,0
G07,2148,0,0,0,0,0,0,0,0
G08,2086,0,0,0,0,0,0,0,0
G09,2138,0,0,0,0,0,0,0,0
G10,2130,0,2239,2316,0,0,0,0,0
G11,2126,0,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,2089,0,0,0,0,0,0,0,0
H04,2078,0,0,2226,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,2046,0,2069,2077,0,0,0,0,0
H07,2059,0,0,0,0,0,0,0,0
H08,0,0,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
H10,2098,0,0,0,0,0,0,0,0
H11,2091,0,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
