Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,0,0,0
A02,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,0,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,2149,2213,0,0,0,0,0,0,0
A08,2142,2200,2324,2424,0,0,0,0,0
A09,2181,2249,0,0,0,0,0,0,0
A10,2177,2244,0,0,0,0,0,0,0
A11,2254,2368,0,0,0,0,0,0,0
A12,2170,2240,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0
B02,0,0,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,2143,2206,2284,2364,0,0,0,0,0
B06,0,0,0,0,0,0,0,0,0
B07,0,0,0,0,0,0,0,0,0
B08,2103,2174,0,0,0,0,0,0,0
B09,2157,2221,0,0,0,0,0,0,0
B10,2189,2270,2407,2500,0,0,0,0,0
B11,2113,2184,0,0,0,0,0,0,0
B12,2151,2214,0,0,0,0,0,0,0
C01,0,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,0,0,0,0,0,0,0,0,0
C04,2147,2217,2296,2358,0,0,0,0,0
C05,2155,2218,2296,2556,0,0,0,0,0
C06,0,0,0,0,0,0,0,0,0
C07,0,0,0,0,0,0,0,0,0
C08,2085,2159,2228,2295,0,0,0,0,0
C09,2160,2237,2289,2379,0,0,0,0,0
C10,2141,2213,0,0,0,0,0,0,0
C11,2125,2210,0,0,0,0,0,0,0
C12,2099,2158,0,0,0,0,0,0,0
D01,2164,2214,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D04,2171,2244,2324,2379,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0
D06,0,0,0,0,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
D08,2121,2199,2264,2323,0,0,0,0,0
D09,2183,2263,2337,2409,0,0,0,0,0
D10,2186,2266,0,0,0,0,0,0,0
D11,2198,2318,0,0,0,0,0,0,0
D12,2135,2197,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,0,0,0,0,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,0
E06,0,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,2155,2230,2309,2366,0,0,0,0,0
E09,2193,2274,2352,2408,0,0,0,0,0
E10,2184,2282,2360,2400,0,0,0,0,0
E11,2099,2175,0,0,0,0,0,0,0
E12,2142,2204,2306,2368,0,0,0,0,0
F01,2164,2178,2237,2249,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,2187,0,2258,2334,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0
F08,2116,2196,2270,0,0,0,0,0,0
F09,0,0,0,0,0,0,0,0,0
F10,2194,2289,2369,2396,0,0,0,0,0
F11,0,2164,0,0,0,0,0,0,0
F12,2092,2149,2222,2314,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,2178,2248,2326,0,0,0,0,0,0
G05,0,0,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,2108,2193,2261,2310,0,0,0,0,0
G08,2093,2175,2245,2300,0,0,0,0,0
G09,2159,2235,2314,2372,0,0,0,0,0
G10,2199,2271,2338,2346,0,0,0,0,0
G11,2207,2324,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H04,2186,2255,2331,0,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
H08,2140,2211,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
H10,2172,2240,2314,2392,0,0,0,0,0
H11,2104,2164,0,0,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
