Wells,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
A01,0,0,0,0,0,0,2193,0,0
A02,0,0,0,0,0,0,0,0,0
A03,0,0,0,0,0,0,0,0,0
A04,0,0,0,0,0,0,0,0,0
A05,0,0,0,0,0,0,0,0,0
A06,0,0,0,0,0,0,0,0,0
A07,1884,1900,1995,2013,0,0,0,0,0
A08,1833,0,0,0,0,0,0,0,0
A09,1813,0,0,0,0,0,0,0,0
A10,1781,0,0,0,0,0,0,0,0
A11,1934,0,0,0,0,0,0,0,0
A12,1812,0,0,0,0,0,0,0,0
B01,0,0,0,0,0,0,0,0,0
B02,0,0,0,0,0,0,0,0,0
B03,0,0,0,0,0,0,0,0,0
B04,0,0,0,0,0,0,0,0,0
B05,1786,0,0,0,0,0,0,0,0
B06,0,0,0,0,0,0,0,0,0
B07,0,0,0,0,0,0,0,0,0
B08,1909,0,0,0,0,0,0,0,0
B09,1820,0,0,0,0,0,0,0,0
B10,0,0,0,0,0,0,0,0,0
B11,1821,0,0,0,0,0,0,0,0
B12,1812,0,0,0,0,0,0,0,0
C01,1732,0,0,0,0,0,0,0,0
C02,0,0,0,0,0,0,0,0,0
C03,0,0,0,0,0,0,0,0,0
C04,1820,1834,1891,1899,0,0,0,0,0
C05,1792,0,0,0,0,0,0,0,0
C06,0,0,0,0,0,0,0,0,0
C07,0,0,0,0,0,0,0,0,0
C08,1931,0,0,0,0,0,0,0,0
C09,1822,0,0,0,0,0,0,0,0
C10,1802,1811,1869,1880,0,0,0,0,0
C11,1857,1872,1983,2007,0,0,0,0,0
C12,1819,0,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
D03,0,0,0,0,0,0,0,0,0
D04,1847,0,0,0,0,0,0,0,0
D05,0,0,0,0,0,0,0,0,0
D06,0,0,0,0,0,0,0,0,0
D07,0,0,0,0,0,0,0,0,0
D08,1931,0,0,0,0,0,0,0,0
D09,1818,0,0,0,0,0,0,0,0
D10,1816,0,0,0,0,0,0,0,0
D11,1911,0,0,0,0,0,0,0,0
D12,1821,0,0,0,0,0,0,0,0
E01,0,0,0,0,0,0,0,0,0
E02,0,0,0,0,0,0,0,0,0
E03,0,0,0,0,0,0,0,0,0
E04,1852,0,0,0,0,0,0,0,0
E05,0,0,0,0,0,0,0,0,0
E06,0,0,0,0,0,0,0,0,0
E07,0,0,0,0,0,0,0,0,0
E08,1984,0,0,0,0,0,0,0,0
E09,1801,0,0,0,0,0,0,0,0
E10,1807,0,0,0,0,0,0,0,0
E11,1845,0,0,0,0,0,0,0,0
E12,1821,0,0,0,0,0,0,0,0
F01,0,0,0,0,0,0,0,0,0
F02,0,0,0,0,0,0,0,0,0
F03,0,0,0,0,0,0,0,0,0
F04,1821,0,0,0,0,0,0,0,0
F05,0,0,0,0,0,0,0,0,0
F06,0,0,0,0,0,0,0,0,0
F07,0,0,0,0,0,0,0,0,0
F08,1831,1846,1872,1884,0,0,0,0,0
F09,1804,0,0,0,0,0,0,0,0
F10,1819,0,0,0,0,0,0,0,0
F11,1837,0,0,0,0,0,0,0,0
F12,1895,0,0,0,0,0,0,0,0
G01,0,0,0,0,0,0,0,0,0
G02,0,0,0,0,0,0,0,0,0
G03,0,0,0,0,0,0,0,0,0
G04,1787,1808,0,0,0,0,0,0,0
G05,0,0,0,0,0,0,0,0,0
G06,0,0,0,0,0,0,0,0,0
G07,1839,0,0,0,0,0,0,0,0
G08,1867,0,0,0,0,0,0,0,0
G09,1813,1825,1893,1900,0,0,0,0,0
G10,1780,1795,1853,1864,0,0,0,0,0
G11,1810,1823,0,0,0,0,0,0,0
G12,1888,1901,2032,2047,0,0,0,0,0
H01,0,0,0,0,0,0,0,0,0
H02,0,0,0,0,0,0,0,0,0
H03,0,0,0,0,0,0,0,0,0
H04,1831,0,0,0,0,0,0,0,0
H05,0,0,0,0,0,0,0,0,0
H06,0,0,0,0,0,0,0,0,0
H07,0,0,0,0,0,0,0,0,0
H08,0,0,0,0,0,0,0,0,0
H09,0,0,0,0,0,0,0,0,0
H10,1794,0,0,0,0,0,0,0,0
H11,1881,1897,2005,2021,0,0,0,0,0
H12,0,0,0,0,0,0,0,0,0
