Row,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
190423_LHR52_34_Plate1_54_52_55Run01_A01,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A02,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A03,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A04,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A05,2032,2073,2182,2218,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A06,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A07,1968,1987,2045,2155,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A08,1980,2032,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A09,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A10,2056,2087,2181,2265,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A11,2140,2185,2309,2400,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_A12,2142,2192,2289,2314,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B01,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B02,1894,1945,2016,2047,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B03,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B04,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B05,2041,2085,2192,2231,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B06,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B07,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B08,1944,1994,2055,2174,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B09,2032,2068,2166,2236,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B10,2003,2032,2127,2206,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B11,2164,2224,2291,2339,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_B12,2162,2208,2313,2326,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C01,1926,1949,2047,2130,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C02,1899,1955,2021,2052,2071,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C03,1873,1903,1923,1994,2024,2043,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C04,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C05,1951,1989,2092,2171,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C06,2132,2166,2187,2220,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C07,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C08,1938,1981,2021,2137,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C09,2050,2082,2180,2262,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C10,2017,2053,2144,2212,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C11,2158,2216,2311,2337,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_C12,2159,2193,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D01,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D02,0,2015,2046,2065,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D03,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D04,1927,1967,2062,2129,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D05,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D06,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D07,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D08,1938,1971,2020,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D09,2072,2108,2211,2293,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D10,2079,2110,2198,2279,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D11,2160,2217,2272,2342,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_D12,2134,2175,2288,2358,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E01,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E02,1903,2025,2057,2076,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E03,1901,2021,2052,2071,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E04,1889,1941,1994,2008,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E05,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E06,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E07,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E08,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E09,1995,2042,2146,2226,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E10,2094,2127,2225,2312,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E11,2147,2204,2307,2333,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_E12,2116,2161,2278,2289,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F01,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F02,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F03,1889,1941,1995,2024,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F04,1902,1938,1988,2088,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F05,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F06,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F07,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F08,0,0,0,0,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F09,2013,2062,2165,2241,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F10,1991,2027,2122,2198,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F11,2171,2231,2320,2359,0,0,0,0,0
190423_LHR52_34_Plate1_54_52_55Run01_F12,2162,2198,2306,2319,0,0,0,0,0
