,label
0,0
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,1
529,1
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,1
558,0
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,1
615,0
616,0
617,0
618,1
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,1
658,0
659,1
660,1
661,1
662,1
663,0
664,0
665,0
666,0
667,0
668,1
669,1
670,1
671,1
672,0
673,0
674,0
675,1
676,1
677,1
678,0
679,0
680,0
681,0
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,0
698,0
699,1
700,1
701,1
702,1
703,0
704,1
705,1
706,0
707,1
708,1
709,0
710,0
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,0
734,1
735,1
736,1
737,0
738,0
739,0
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,0
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,1
786,1
787,0
788,1
789,1
790,1
791,1
792,0
793,0
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,1
802,1
803,1
804,1
805,0
806,1
807,1
808,1
809,1
810,0
811,0
812,1
813,1
814,0
815,1
816,1
817,0
818,0
819,1
820,0
821,1
822,0
823,0
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,1
848,1
849,1
850,1
851,0
852,0
853,1
854,1
855,1
856,1
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,1
865,1
866,1
867,0
868,1
869,1
870,1
871,1
872,0
873,0
874,1
875,1
876,1
877,1
878,0
879,0
880,1
881,1
882,1
883,1
884,0
885,1
886,1
887,1
888,0
889,0
890,1
891,1
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,0
947,0
948,1
949,1
950,1
951,1
952,0
953,0
954,1
955,1
956,1
957,1
958,0
959,0
960,1
961,1
962,1
963,1
964,0
965,0
966,0
967,1
968,1
969,1
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,1
987,1
988,0
989,1
990,0
991,1
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,0
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,0
1048,1
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,1
1057,0
1058,0
1059,1
1060,1
